id,agent_configuration
Paper_04,MAS
Paper_06,MAS
Paper_08,MAS
Paper_09,Single-Agent
Paper_10,Single-Agent
Paper_13,Single-Agent
Paper_14,Single-Agent
Paper_16,Single-Agent
Paper_18,Single-Agent
Paper_19,Single-Agent
Paper_20,Single-Agent
Paper_21,Single-Agent
Paper_22,Single-Agent
Paper_23,Single-Agent
Paper_24,MAS
Paper_25,MAS
Paper_26,Single-Agent
Paper_27,MAS
Paper_28,Single-Agent
Paper_29,Single-Agent
Paper_30,MAS
Paper_31,Single-Agent
Paper_32,Single-Agent
Paper_38,MAS
Paper_39,MAS
Paper_40,Single-Agent
Paper_41,MAS
Paper_42,Single-Agent
Paper_45,Single-Agent
Paper_46,Single-Agent
Paper_47,Single-Agent
Paper_50,MAS
Paper_51,Single-Agent
Paper_52,Single-Agent
Paper_53,MAS
Paper_55,Single-Agent
Paper_56,Single-Agent
Paper_59,Single-Agent
Paper_61,MAS
Paper_62,MAS
Paper_64,Single-Agent
Paper_65,Single-Agent
Paper_66,Single-Agent
Paper_67,MAS
Paper_69,Single-Agent
Paper_70,Single-Agent
Paper_76,Single-Agent
Paper_77,Single-Agent
Paper_78,Single-Agent
Paper_79,Single-Agent
Paper_80,MAS
Paper_81,Single-Agent;MAS
Paper_82,MAS
Paper_83,Single-Agent
Paper_85,Single-Agent